Airways,Center,Latitude,Longitude,Numbered Fix
A1 V385,ZAN,63.889083,-160.695000,30194
A1 V453,ZAN,63.887639,-160.686083,27583
A1 V488,ZAN,63.888722,-160.692694,29610
A17 B4,ZAN,66.758972,-148.176083,27552
A6 V385,ZAN,63.826028,-160.929667,29497
A6 V488,ZAN,63.760833,-161.023028,29496
A6 V506,ZAN,62.240417,-163.063472,29494
A6 V510,ZAN,62.732639,-162.430194,29495
B27 G4,ZAN,59.171778,-157.766889,27551
B27 V319,ZAN,60.794667,-161.876361,29094
B27 V350,ZAN,61.023944,-162.121639,29095
B27 V488,ZAN,62.636389,-163.731222,30193
B27 V619,ZAN,58.870500,-157.077139,29508
B3 V385,ZAN,63.863833,-160.789222,30195
B3 V440,ZAN,63.911750,-160.818083,30192
B3 V453,ZAN,63.761556,-160.737250,27582
B3 V488,ZAN,63.853583,-160.783944,29609
B7 V480,ZAN,60.766583,-161.875222,29557
G10 R99,ZAN,55.547194,-163.660222,26799
G15 V453,ZAN,62.453917,-161.241833,27580
G15 V506,ZAN,62.125028,-162.960556,29103
G6 R50,ZAN,61.781278,-160.999889,29097
G6 V453,ZAN,61.840806,-161.463278,27585
G6 V480,ZAN,61.601222,-159.675833,29212
G6 V506,ZAN,62.009250,-162.858083,29096
G8 V351,ZAN,57.784778,-158.610056,29499
G9 V308,ZAN,60.799889,-161.755083,29101
G9 V319,ZAN,60.792056,-161.862500,29098
G9 V350,ZAN,60.794028,-161.835667,29099
G9 V453,ZAN,60.795083,-161.820944,27579
G9 V480,ZAN,60.797083,-161.793528,29100
G9 V506,ZAN,60.794278,-161.832000,29102
J1 J110,ZOA,36.725861,-121.122750,10105
J1 J126,ZOA,37.154139,-121.589250,12398
J1 J143,ZSE,44.512000,-122.717306,11837
J1 J189 J34,ZSE,47.013444,-122.381778,11759
J1 J189 J54,ZSE,46.786583,-122.420111,13772
J10 J104 J107 J128 J4 J50 J64,ZLA,34.013222,-117.622750,12102
J10 J104 J4 J65,ZLA,34.102783,-116.332167,11569
J10 J11,ZAB,34.915694,-112.468167,14745
J10 J144 J151,ZMP,41.426417,-96.300944,00966
J10 J144 J21,ZMP,41.435444,-95.587667,10418
J10 J154,ZDV,39.759194,-104.436167,14168
J10 J197,ZDV,38.162528,-107.223750,13635
J10 J231 J236,ZLA,34.216194,-115.298750,13819
J10 J233,ZAU,41.488528,-92.485722,13702
J10 J6,ZAB,34.725889,-113.103056,14743
J10 J60,ZDV,40.059278,-103.619139,14169
J10 J72,ZAB,35.559028,-110.790389,12481
J10 J76,ZDV,36.035389,-109.738444,10188
J10 J86,ZAB,35.316194,-111.314250,10287
J10 J92,ZAB,34.839417,-112.725000,14744
J100 J105 J128 J84 J94,ZAU,42.287306,-88.847944,10445
